bench_id	format	source_group	content_length	content_type	last_modified	etag	final_url	download_status	download_error
txt_rfc9110	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc9110.txt	reused	
txt_rfc9111	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc9111.txt	reused	
txt_rfc9112	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc9112.txt	reused	
txt_rfc8446	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc8446.txt	reused	
txt_rfc8259	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc8259.txt	reused	
txt_rfc3986	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc3986.txt	reused	
txt_rfc4180	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc4180.txt	reused	
txt_rfc9000	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc9000.txt	reused	
txt_rfc5280	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc5280.txt	reused	
txt_rfc7231	txt	rfc_editor					https://www.rfc-editor.org/rfc/rfc7231.txt	reused	
csv_usgs_all_day	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	reused	
csv_usgs_all_week	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_week.csv	reused	
csv_usgs_all_month	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_month.csv	reused	
csv_usgs_significant_month	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/significant_month.csv	reused	
csv_usgs_45_month	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/4.5_month.csv	reused	
csv_usgs_25_month	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/2.5_month.csv	reused	
csv_usgs_10_month	csv	usgs_feeds					https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/1.0_month.csv	reused	
csv_owid_co2	csv	owid_grapher					https://ourworldindata.org/grapher/annual-co2-emissions-per-country.csv	reused	
csv_owid_life_expectancy	csv	owid_grapher					https://ourworldindata.org/grapher/life-expectancy.csv	reused	
csv_owid_population	csv	owid_grapher					https://ourworldindata.org/grapher/population.csv	reused	
