split	gate_type	confidence_threshold	margin_threshold	total_count	overall_accuracy_no_abstain	macro_f1_no_abstain	runtime_emitted_count	runtime_correct_count	runtime_high_conf_precision	runtime_high_conf_coverage	runtime_abstain_count	runtime_abstain_rate	accepted_accuracy	accepted_macro_f1	all_accepted_count	report_only_accepted_count	margin_available	meets_target_precision
heldout	combined_confidence_margin	0.80	0.35	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.40	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.45	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.50	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.85	0.00	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.05	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.10	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.15	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.20	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.25	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.30	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.35	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.40	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.45	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.85	0.50	11123	0.8269	0.8097	7082	6649	0.9389	0.6367	4041	0.3633	0.9389	0.9304	7082	0	true	true
heldout	combined_confidence_margin	0.90	0.00	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.05	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.10	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.15	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.20	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.25	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.30	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.35	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.40	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.45	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.90	0.50	11123	0.8269	0.8097	6230	5946	0.9544	0.5601	4893	0.4399	0.9544	0.9457	6230	0	true	true
heldout	combined_confidence_margin	0.95	0.00	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.05	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.10	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.15	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.20	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.25	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.30	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.35	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.40	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.45	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
heldout	combined_confidence_margin	0.95	0.50	11123	0.8269	0.8097	4771	4639	0.9723	0.4289	6352	0.5711	0.9723	0.9649	4771	0	true	true
